250;;Banco Schahin S.A.;http://www.bancoschahin.com.br
749;;Banco Simples S.A.;http://www.bancosimples.com.br
366;;Banco Société Générale Brasil S.A.;http://www.sogeral.com.br
637;;Banco Sofisa S.A.;http://www.sofisa.com.br
347;;Banco Sudameris Brasil S.A.;http://www.sudameris.com.br
464;;Banco Sumitomo Mitsui Brasileiro S.A.;http://www.smbc.com.br
634;;Banco Triângulo S.A.;http://www.tribanco.com.br
247;;Banco UBS S.A.;http://www.ubsw.com
493;;Banco Union - Brasil S.A.;http://www.bancunion.com.br
496;;Banco Uno - E Brasil S.A.;http://site em construção
655;;Banco Votorantim S.A.;http://www.bancovotorantim.com.br
610;;Banco VR S.A.;http://www.vr.com.br
370;;Banco Westlb do Brasil S.A.;http://www.westlb.com
219;;Banco Zogbi S.A.;http://www.bancozogbi.com.br
62;;Banco1.Net S.A;http://www.banco1.net
21;;BANESTES S.A. Banco do Estado do Espírito Santo;http://www.banestes.com.br
479;;BankBoston Banco Múltiplo S.A.;http://www.bankboston.com.br
744;0800-701-7404;BankBoston N.A.;http://www.bankboston.com.br
073-6;;BB Banco Popular do Brasil S.A.;
0;;BES Investimento do Brasil S.A. - Banco de Investimento;http://site em construção
70;;BRB - Banco de Brasília S.A.;http://www.brb.com.br
104;;Caixa Econômica Federal;http://www.caixa.gov.br
477;;Citibank N.A.;http://www.citibank.com/brasil
487;;Deutsche Bank S.A. - Banco Alemão;http://www.deutsche-bank.com.br
751;;Dresdner Bank Brasil S.A. - Banco Múltiplo;http://www.dbla.com
210;;Dresdner Bank Lateinamerika Aktiengesellschaft;http://www.dbla.com
399;;HSBC Bank Brasil S.A. - Banco Múltiplo;http://www.hsbc.com.br
492;;ING Bank N.V.;http://www.ing.com
488;;JPMorgan Chase Bank;http://www.jpmorganchase.com
65;;Lemon Bank Banco Múltiplo S.A.;http://www.lemon.com
472;;Lloyds TSB Bank PLC.;http://www.lloydstsb.com.br
254;;Paraná Banco S.A.;http://www.paranabanco.com.br
409;;UNIBANCO - União de Bancos Brasileiros S.A.;http://www.unibanco.com.br
230;;Unicard Banco Múltiplo S.A.;http://www.bandeirantes.com.br
